mmsi,mpa_name,mpa_type,n_pings,mean_speed,speed_std,mean_heading_change_rate,time_in_mpa_minutes,max_stationary_minutes,n_direction_reversals
211503810,Morro Bay SMRMA,SMRMA,440.0,0.0709090909090909,0.1197311036868977,37.242732022785226,1439.0,1290.0166666666664,3.0
338140285,Campus Point SMCA (No-Take),SMCA (No-Take),11.0,17.90909090909091,3.9638031657979793,6.662649874635004,321.25,0.0,1.0
338140285,Naples SMCA,SMCA,6.0,18.78333333333333,3.348838936440841,2.6543151756999928,288.76666666666665,0.0,1.0
338142675,Upper Newport Bay SMCA,SMCA,312.0,0.016025641025641,0.0614950434439949,2.820151388595162,1422.0,1137.0166666666664,1.0
338143454,Morro Bay SMRMA,SMRMA,392.0,0.0051020408163265,0.0242118581993972,0.0,1437.1333333333334,1437.1333333333337,0.0
338163877,Morro Bay SMRMA,SMRMA,54.0,2.1944444444444446,1.895258866972928,26.38148098344576,1173.8,913.9833333333332,5.0
338171267,Pillar Point SMCA,SMCA,20.0,10.04,0.7812809993849842,4.073610173389324,331.9833333333333,0.0,2.0
338173579,Point Reyes SMCA,SMCA,96.0,6.210416666666667,1.7818809798605766,8.910772224544194,1385.4833333333331,0.0,2.0
338173579,Point Reyes SMR,SMR,165.0,0.6521212121212121,1.6793067790117726,15.12234277437392,844.4833333333333,464.98333333333335,8.0
338174439,Upper Newport Bay SMCA,SMCA,258.0,0.0069767441860465,0.0254754677909379,0.019195849546044,1434.0,1434.0000000000002,0.0
338184371,Blue Cavern Offshore SMCA,SMCA,10.0,22.270000000000003,0.9930256794262676,4.43463348998297,332.15,0.0,2.0
338184371,Blue Cavern Onshore SMCA (No-Take),SMCA (No-Take),38.0,4.128947368421053,7.895565307408059,17.19371360001462,346.06666666666666,38.53333333333333,3.0
338227582,Pacific Grove Marine Gardens SMCA,SMCA,5.0,8.059999999999999,0.7088018058667743,6.159892525647297,5.016666666666667,0.0,0.0
338253629,Montara SMR,SMR,19.0,5.605263157894737,0.4236106506917659,4.5214543251193415,31.016666666666666,0.0,0.0
338253629,Pillar Point SMCA,SMCA,7.0,6.2,0.1690308509457033,7.225645526610396,10.45,0.0,0.0
338330021,South La Jolla SMR,SMR,13.0,4.515384615384615,0.9913829919291488,5.397599702863847,21.0,0.0,0.0
338330021,Swami's SMCA,SMCA,17.0,6.1,0.3429971702850176,1.5361619891603209,28.966666666666665,0.0,0.0
338392591,Upper Newport Bay SMCA,SMCA,335.0,0.0002985074626865,0.0054554229499991,2.018663386444491,1434.0,1434.0,5.0
338400762,Upper Newport Bay SMCA,SMCA,330.0,0.0,0.0,0.0,1437.0166666666669,1437.0166666666669,0.0
338459905,Campus Point SMCA (No-Take),SMCA (No-Take),26.0,9.334615384615384,7.458652296684719,14.688151729979262,49.516666666666666,0.0,1.0
338468255,Footprint SMR,SMR,11.0,8.872727272727273,0.3249920533039905,4.159073139974781,14.983333333333333,0.0,0.0
338468255,Scorpion SMR,SMR,21.0,9.69047619047619,0.6899998356830459,10.635361847805616,194.76666666666668,0.0,1.0
338493424,Pacific Grove Marine Gardens SMCA,SMCA,3.0,5.5,0.6531972647421806,30.974350649350647,4.566666666666666,0.0,1.0
338519446,Blue Cavern Onshore SMCA (No-Take),SMCA (No-Take),10.0,5.950000000000001,0.4201190307520001,4.589828576286486,16.516666666666666,0.0,0.0
338519446,Long Point SMR,SMR,9.0,5.788888888888889,0.2078698548207746,2.909457943049869,16.483333333333334,0.0,0.0
366771550,Corte Madera Marsh SMP,SMP,4.0,32.050000000000004,3.391533576422323,2.675750883716546,234.9833333333333,0.0,2.0
366778450,Corte Madera Marsh SMP,SMP,5.0,34.940000000000005,5.88034012621719,1.3568446545028932,1211.0166666666669,0.0,3.0
366813530,Scorpion SMR,SMR,39.0,6.464102564102564,8.54776885507189,17.29499158433349,306.93333333333334,24.000000000000004,3.0
366889830,South La Jolla SMCA,SMCA,8.0,5.862500000000001,2.743600508455996,8.455702126261128,9.333333333333334,0.0,0.0
366889830,South La Jolla SMR,SMR,9.0,11.22222222222222,0.498392477600129,4.305240248499665,67.15,0.0,1.0
366892000,Abalone Cove SMCA,SMCA,11.0,9.809090909090909,0.3776832377789271,2.3475811625259206,140.16666666666666,0.0,1.0
366892000,Point Vicente SMCA (No-Take),SMCA (No-Take),24.0,9.7,0.3752776749732569,4.748497314373409,125.31666666666666,0.0,1.0
366899260,Scorpion SMR,SMR,6.0,6.55,8.469700899874406,29.771176399208716,5.7,2.333333333333333,0.0
366943970,Long Point SMR,SMR,4.0,27.65,0.2692582403567252,6.991010047593864,3.083333333333333,0.0,0.0
366999858,Morro Bay SMRMA,SMRMA,896.0,0.1371651785714285,0.9385306237116672,1.490989115560149,1438.9666666666667,1024.1999999999955,5.0
366999859,Morro Bay SMRMA,SMRMA,922.0,0.1868763557483731,1.2433995819944028,1.9243947177170908,1438.9666666666667,861.1166666666631,8.0
367027990,Morro Bay SMRMA,SMRMA,17.0,3.317647058823529,3.188810453872516,7.94062864614636,228.16666666666663,18.08333333333333,1.0
367062870,Pacific Grove Marine Gardens SMCA,SMCA,6.0,5.65,0.411298755975102,6.186231881565275,9.483333333333333,0.0,0.0
367062870,Portuguese Ledge SMCA,SMCA,3.0,6.333333333333333,0.1699673171197597,3.606459330143532,4.0,0.0,0.0
367104050,Campus Point SMCA (No-Take),SMCA (No-Take),12.0,16.525000000000002,0.9102426416437908,4.620532070798169,107.56666666666666,0.0,1.0
367107830,Morro Bay SMRMA,SMRMA,104.0,0.0,0.0,0.0,1344.0166666666669,1344.0166666666669,0.0
367177280,Point Reyes SMCA,SMCA,4.0,7.55,0.1499999999999998,6.026034427904016,6.466666666666667,0.0,0.0
367192940,Blue Cavern Offshore SMCA,SMCA,6.0,26.6,0.2160246899469284,2.6744544592030364,5.366666666666666,0.0,0.0
367192940,Blue Cavern Onshore SMCA (No-Take),SMCA (No-Take),5.0,26.540000000000003,0.241660919471891,13.096335329733437,56.53333333333333,0.0,1.0
367192940,Long Point SMR,SMR,4.0,26.175,0.1479019945774896,4.221572580645163,3.2666666666666666,0.0,0.0
367404860,Abalone Cove SMCA,SMCA,8.0,6.575,0.2817356917396161,2.188910474340286,10.166666666666666,0.0,0.0
367404860,Point Vicente SMCA (No-Take),SMCA (No-Take),8.0,6.9375,0.2496873044429771,2.2725155700472546,13.35,0.0,0.0
367463540,Pillar Point SMCA,SMCA,6.0,6.316666666666666,0.3760171390892826,3.031205600550066,335.4833333333333,0.0,0.0
367646810,Anacapa Island FMCA,FMCA,13.0,5.569230769230769,0.0605692913385521,0.6844884403036574,17.816666666666666,0.0,0.0
367646810,Anacapa Island FMR,FMR,7.0,5.6000000000000005,0.0534522483824849,0.5476248797130626,7.0,0.0,0.0
367646810,Anacapa Island SMR,SMR,14.0,5.671428571428572,0.095831484749991,1.2564213177114278,19.316666666666663,0.0,0.0
367646810,Scorpion FMR,FMR,3.0,6.866666666666667,0.0942809041582064,0.074586776859507,4.016666666666667,0.0,0.0
367646810,Scorpion SMR,SMR,6.0,6.9,8.881784197001252e-16,0.3450119277724673,12.666666666666666,0.0,0.0
367659210,Cabrillo SMR,SMR,5.0,3.38,3.618507979817096,27.061797385297,6.25,0.0,0.0
367659210,Tijuana River Mouth SMCA,SMCA,34.0,6.035294117647059,4.920538131315528,42.173704952550345,44.083333333333336,0.0,4.0
367707820,Point Vicente SMCA (No-Take),SMCA (No-Take),16.0,13.5,0.3840572873934302,3.5193157213272377,19.883333333333333,0.0,0.0
367737070,Pacific Grove Marine Gardens SMCA,SMCA,5.0,11.919999999999998,0.945304183847718,6.602325089030642,152.4,0.0,2.0
367737070,Portuguese Ledge SMCA,SMCA,20.0,8.32,3.088462400612965,12.725664097200118,54.5,0.0,1.0
367743080,Point Dume SMCA,SMCA,106.0,2.5556603773584903,3.398337001420327,21.241733069749703,386.0,33.0,11.0
367743080,Point Dume SMR,SMR,15.0,7.886666666666668,0.5607930891950156,4.124390003564399,102.5,0.0,1.0
367767350,South La Jolla SMR,SMR,7.0,7.5,0.4810702354423639,1.288769439322374,10.95,0.0,0.0
367767350,Swami's SMCA,SMCA,11.0,7.081818181818181,0.2036850591128007,3.4715275901859544,15.983333333333333,0.0,0.0
367785170,Portuguese Ledge SMCA,SMCA,9.0,8.022222222222222,4.835465685439379,8.025737376166115,13.983333333333333,0.0,0.0
368167990,Upper Newport Bay SMCA,SMCA,352.0,0.0,0.0,0.0194538184698086,1434.0,1434.0,0.0
368173330,Cat Harbor SMCA,SMCA,66.0,0.0696969696969696,0.0549647186279304,4.741308814505453,1044.0333333333333,1044.0333333333335,3.0
368174080,Montara SMR,SMR,26.0,5.565384615384616,0.5128669850738087,3.453225603074297,36.0,0.0,0.0
368174080,Pillar Point SMCA,SMCA,12.0,5.533333333333334,0.3880148908940939,2.970608089644747,16.45,0.0,0.0
368174080,Point Reyes SMCA,SMCA,3.0,4.966666666666667,0.7586537784494028,5.573868256980219,3.0166666666666666,0.0,0.0
368291930,Crystal Cove SMCA,SMCA,33.0,4.196969696969697,1.5367192224927415,9.02793324130985,87.06666666666666,0.0,1.0
368320160,Morro Bay SMRMA,SMRMA,455.0,0.0028571428571428,0.0166598625567008,2.8704240156456238,1437.0333333333333,1437.0333333333333,0.0
368399640,Campus Point SMCA (No-Take),SMCA (No-Take),16.0,6.25,0.5979130371550697,3.028274099451133,25.016666666666666,0.0,0.0
368399640,Point Conception SMR,SMR,36.0,6.033333333333334,1.4110673659011148,11.649955343346372,53.38333333333333,0.0,0.0
369006000,Scorpion FMR,FMR,9.0,11.477777777777778,0.0415739709641547,0.4977664572886062,10.5,0.0,0.0
431312000,Anacapa Island FMR,FMR,10.0,9.37,0.0458257569495582,1.0312011160676735,13.666666666666666,0.0,0.0
431312000,Anacapa Island SMR,SMR,3.0,9.4,0.0,0.1291925465838435,2.316666666666667,0.0,0.0
431312000,Scorpion FMR,FMR,9.0,9.255555555555553,0.1165343164633505,0.2490551682409345,12.5,0.0,0.0
440151000,Scorpion FMR,FMR,7.0,16.54285714285714,0.04948716593054,0.0,7.566666666666666,0.0,0.0
477441800,Scorpion FMR,FMR,5.0,17.380000000000003,0.0399999999999991,0.2870358807858819,6.9,0.0,0.0
564966000,Anacapa Island FMCA,FMCA,5.0,11.9,0.0,0.3751116822101583,4.5,0.0,0.0
564966000,Anacapa Island FMR,FMR,6.0,11.366666666666667,0.17950549357115,0.9288568935427572,9.683333333333334,0.0,0.0
564966000,Anacapa Island SMR,SMR,4.0,11.2,0.0,0.4294695710494934,3.5,0.0,0.0
564966000,Scorpion FMR,FMR,7.0,11.685714285714283,0.0349927106111881,0.4668919312979292,7.35,0.0,0.0
564966000,Scorpion SMR,SMR,3.0,11.699999999999998,1.7763568394002505e-15,0.4666666666666618,2.6666666666666665,0.0,0.0
636017386,Scorpion FMR,FMR,10.0,11.09,0.0699999999999997,0.2439452919702938,11.316666666666666,0.0,0.0
